registro_id,cell_index,anio,mes,anio_mes,asset_fuente,viirs_soporte_nativo_m,viirs_detecciones_todas_support_mean,viirs_detecciones_nominal_alta_support_mean,viirs_presencia_fuego_support_frac,viirs_presencia_fuego_nominal_alta_support_frac,viirs_frp_suma_observada_support_mean_mw,viirs_frp_maxima_support_mean_mw,viirs_dias_validos_support_mean,viirs_disponibilidad_support_pct,viirs_observado_support_mean,viirs_source_coverage_frac,viirs_observed_support_frac,viirs_evidencia_fuego_any,viirs_evidencia_fuego_nominal_alta_any,estrato_muestra,procedencia,fuente_primaria,unidad_analisis,datos_simulados,version_origen
VCM_0041,3504,2021,9,2021-09,VIIRS_PREP_2021_09,926.625433055833,0.7205882352941178,0.7205882352941178,0.7205882352941178,0.7205882352941178,5.620588372735416,5.620588372735416,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0042,5226,2021,9,2021-09,VIIRS_PREP_2021_09,926.625433055833,0.5434782608695652,0.5434782608695652,0.5434782608695652,0.5434782608695652,16.793478053549062,16.793478053549062,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0043,5299,2021,9,2021-09,VIIRS_PREP_2021_09,926.625433055833,0.1309523809523809,0.1309523809523809,0.1309523809523809,0.1309523809523809,4.046428521474202,4.046428521474202,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0044,5521,2021,10,2021-10,VIIRS_PREP_2021_10,926.625433055833,0.6904761904761906,0.6904761904761906,0.6904761904761906,0.6904761904761906,10.84047605877831,10.84047605877831,31.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0045,2306,2021,11,2021-11,VIIRS_PREP_2021_11,926.625433055833,0.1791044776119403,0.1791044776119403,0.1791044776119403,0.1791044776119403,1.5223880597014925,1.5223880597014925,30.0,100.0,1.0,1.0,1.0,1,1,con_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0046,3522,2022,2,2022-02,VIIRS_PREP_2022_02,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,28.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0047,164,2022,4,2022-04,VIIRS_PREP_2022_04,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0048,2675,2022,4,2022-04,VIIRS_PREP_2022_04,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0049,4973,2022,5,2022-05,VIIRS_PREP_2022_05,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,31.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
VCM_0050,1510,2022,6,2022-06,VIIRS_PREP_2022_06,926.625433055833,0.0,0.0,0.0,0.0,0.0,0.0,30.0,100.0,1.0,1.0,1.0,0,0,sin_fuego,registros_previamente_procesados,NASA FIRMS - VIIRS,celda_mes_500m,False,v1.0.3
