fuente,ambito,variable,tipo_fuente,tipo_inferido,filas,no_nulos,nulos,porcentaje_nulos,valores_distintos,minimo,maximo,valores_frecuentes
chirps,periodo_2023,chirps_precipitacion_media_diaria_mm,texto CSV,decimal,95964,95964,0,0.000000,>10000,0,26.1031436920166,alta cardinalidad
chirps,periodo_2023,chirps_valid_coverage,texto CSV,decimal,95964,95964,0,0.000000,1352,0.999999470976802,1.00000122989447,alta cardinalidad
chirps,periodo_2023,columna,texto CSV,entero,95964,95964,0,0.000000,100,0,99,73:2184 | 72:2172 | 74:2148 | 75:2148 | 76:2136 | 71:2100 | 77:2100 | 78:2052 | 70:2004 | 79:2004
chirps,periodo_2023,dias_calendario,texto CSV,entero,95964,95964,0,0.000000,3,28,31,31:55979 | 30:31988 | 28:7997
chirps,periodo_2023,fila,texto CSV,entero,95964,95964,0,0.000000,186,0,185,alta cardinalidad
chirps,periodo_2023,fraccion_dentro_loja,texto CSV,decimal,95964,95964,0,0.000000,829,1.66833814906295e-08,1,alta cardinalidad
chirps,periodo_2023,mes,texto CSV,entero,95964,95964,0,0.000000,12,1,12,1:7997 | 10:7997 | 11:7997 | 12:7997 | 2:7997 | 3:7997 | 4:7997 | 5:7997 | 6:7997 | 7:7997
malla,completo,area_dentro_loja_ha,REAL,decimal,7997,7997,0,0.000000,829,4.17084537265737e-07,25,alta cardinalidad
malla,completo,area_dentro_loja_m2,REAL,decimal,7997,7997,0,0.000000,829,0.00417084537265737,250000,alta cardinalidad
malla,completo,area_nominal_ha,REAL,decimal,7997,7997,0,0.000000,1,25,25,25.0:7997
malla,completo,area_nominal_m2,REAL,decimal,7997,7997,0,0.000000,1,250000,250000,250000.0:7997
malla,completo,cell_id,TEXT,texto,7997,7997,0,0.000000,7997,,,alta cardinalidad
malla,completo,cell_index,INTEGER,entero,7997,7997,0,0.000000,7997,0,7996,alta cardinalidad
malla,completo,centro_x_m,REAL,decimal,7997,7997,0,0.000000,100,661250,710750,697750.0:182 | 697250.0:181 | 698250.0:179 | 698750.0:179 | 699250.0:178 | 696750.0:175 | 699750.0:175 | 700250.0:171 | 696250.0:167 | 700750.0:167
malla,completo,centro_y_m,REAL,decimal,7997,7997,0,0.000000,186,9501250,9593750,alta cardinalidad
malla,completo,columna,INTEGER,entero,7997,7997,0,0.000000,100,0,99,73:182 | 72:181 | 74:179 | 75:179 | 76:178 | 71:175 | 77:175 | 78:171 | 70:167 | 79:167
malla,completo,es_celda_completa,BOOLEAN,entero,7997,7997,0,0.000000,2,0,1,1:7169 | 0:828
malla,completo,fid,INTEGER,entero,7997,7997,0,0.000000,7997,1,7997,alta cardinalidad
malla,completo,fila,INTEGER,entero,7997,7997,0,0.000000,186,0,185,alta cardinalidad
malla,completo,fraccion_dentro_loja,REAL,decimal,7997,7997,0,0.000000,829,1.66833814906295e-08,1,alta cardinalidad
malla,completo,fraccion_lt_001,BOOLEAN,entero,7997,7997,0,0.000000,2,0,1,0:7942 | 1:55
malla,completo,fraccion_lt_005,BOOLEAN,entero,7997,7997,0,0.000000,2,0,1,0:7873 | 1:124
malla,completo,fraccion_lt_010,BOOLEAN,entero,7997,7997,0,0.000000,2,0,1,0:7826 | 1:171
malla,completo,fraccion_lt_025,BOOLEAN,entero,7997,7997,0,0.000000,2,0,1,0:7721 | 1:276
malla,completo,fraccion_lt_050,BOOLEAN,entero,7997,7997,0,0.000000,2,0,1,0:7588 | 1:409
malla,completo,geom,POLYGON,texto,7997,7997,0,0.000000,0,,,
